Description,Chamber,Created date,Energy Policy Index,URL
A Resolution directing the Joint State Government Commission to conduct a holistic study on the benefits of nuclear energy and small modular reactors.,House,2022-10-22,88.7395,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0238&pn=3602
"An Act amending the act of November 30, 2004 (P.L.1672, No.213), known as the Alternative Energy Portfolio Standards Act, further providing for short title, for definitions and for alternative energy portfolio standards; providing for Zero Emissions Certificate Program and for decarbonization; and establishing the ZEC Fund.",Senate,2022-01-05,84.3761,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=0979&pn=1303
A Resolution urging the President of the United States to restart and expedite the completion of the Keystone XL pipeline.,House,2022-08-12,76.8879,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0224&pn=3410
A Resolution urging the President of the United States to restart and expedite the completion of the Keystone XL pipeline.,Senate,2023-01-10,76.5376,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=R&billNbr=0009&pn=0019
A Resolution urging the President of the United States to restart and expedite the completion of the Keystone XL pipeline.,Senate,2022-04-02,73.5782,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=R&billNbr=0255&pn=1536
"An Act amending the act of November 30, 2004 (P.L.1672, No.213), known as the Alternative Energy Portfolio Standards Act, further providing for definitions.",Senate,2023-01-31,68.4755,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0181&pn=0164
"A Resolution urging the President of the United States to consider the current geopolitical tensions and support policies and take measures to ensure America's long-term energy affordability, security, leadership and progress, including actions that result in the continued operation of existing oil and natural gas pipelines, the construction of new pipelines and the end of restrictions on developing our nations onshore and offshore oil and natural gas resources.",Senate,2022-04-22,66.9425,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=R&billNbr=0256&pn=1605
A Resolution urging the President of the United States and the Congress of the United States to take measures to increase America's long-term energy affordability and security by ensuring the continued operation and expansion of our oil and gas infrastructure.,House,2022-03-24,66.1333,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0189&pn=2879
A Resolution urging the Biden Administration and the Congress of the United States to designate this Commonwealth as a hydrogen hub.,House,2022-03-16,66.1063,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0183&pn=2839
An Act providing for suspension of the Pennsylvania Heavy-Duty Diesel Emissions Control Program and for expiration of suspension.,Senate,2023-01-31,65.6,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0254&pn=0217
"An Act amending the act of July 10, 2008 (P.L.1009, No.78), known as the Biofuel Development and In-State Production Incentive Act, further providing for short title of act and for definitions; providing for low emission transportation fuel incentive and for registration and other requirements; and further providing for department authority and responsibility and for infrastructure reports.",House,2022-10-06,64.7711,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2871&pn=3544
"An Act amending the act of July 10, 2008 (P.L.1009, No.78), known as the Biofuel Development and In-State Production Incentive Act, further providing for short title of act and for definitions; providing for low emission transportation fuel incentive and for registration and other requirements; and further providing for department authority and responsibility and for infrastructure reports.",Senate,2022-10-04,63.9306,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=1338&pn=1951
An Act providing for suspension of the Pennsylvania Heavy-Duty Diesel Emissions Control Program and for expiration of suspension.,Senate,2022-01-22,62.439,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=1030&pn=1337
A Resolution urging the Biden Administration and the Congress of the United States to designate the southeastern region of this Commonwealth as a hydrogen hub.,House,2022-03-04,61.6019,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0178&pn=2797
"An Act amending Title 3 (Agriculture) of the Pennsylvania Consolidated Statutes, in weights and measures, providing for fuel and diesel fuel tax transparency.",Senate,2023-01-20,59.9149,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0176&pn=0142
"An Act amending Title 3 (Agriculture) of the Pennsylvania Consolidated Statutes, in weights and measures, providing for fuel and diesel fuel tax transparency.",House,2022-02-08,59.3333,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2326&pn=2720
A Resolution urging the Congress of the United States to fund measures to protect the power grid of the United States from electromagnetic pulse attacks and solar flare incidents.,House,2022-06-23,59.1698,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0213&pn=3297
"An Act amending Titles 27 (Environmental Resources) and 58 (Oil and Gas) of the Pennsylvania Consolidated Statutes, in administrative provisions, providing for definitions, for coal-powered plants, for regulations, for natural gas and coal permit database, for natural gas and coal permit review procedure and for withdrawal from Regional Greenhouse Gas Initiative; in development relating to oil and gas, further providing for well permits and providing for leases in State parks and forests; and making an editorial change.",Senate,2022-05-06,58.4067,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=1219&pn=1635
A Resolution urging the Congress of the United States and the United States Environmental Protection Agency to take action and end regulations relating to vehicle emissions testing.,House,2022-03-29,57.9048,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0190&pn=2892
A Resolution urging the Governors of New York and New Jersey to end anti-pipeline policies that block Pennsylvania natural gas from reaching markets in New England.,House,2022-03-23,54.7097,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0187&pn=2868
An Act establishing the greenhouse gas emissions fee on manufacturers; establishing the Greenhouse Gas Emissions Fund; and imposing duties on Department of Community and Economic Development.,House,2022-10-27,53.8483,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2907&pn=3610
"An Act amending Title 66 (Public Utilities) of the Pennsylvania Consolidated Statutes, in restructuring of electric utility industry, further providing for energy efficiency and conservation program.",House,2022-08-31,53.0732,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2795&pn=3432
"An Act amending Title 58 (Oil and Gas) of the Pennsylvania Consolidated Statutes, in unconventional gas well fee, further providing for Statewide initiatives.",Senate,2022-09-14,51.8919,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=1331&pn=1892
"An Act amending the act of November 29, 2004 (P.L.1376, No.178), known as the Alternative Fuels Incentive Act, further providing for title of act, for short title of act, for definitions and for Alternative Fuels Incentive Fund; repealing provisions relating to biomass-based diesel production incentives; further providing for annual report; and repealing provisions relating to interfund transfer.",House,2022-10-06,51.2589,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2870&pn=3543
