Description,Chamber,Created date,Energy Policy Index,URL
Relating to statewide requirements for renewable electric generating capacity.,House,2022-12-15,100.0,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01013I.HTM
Expressing support for geothermal energy production.,House,2023-01-21,97.0035,http://capitol.texas.gov/tlodocs/88R/billtext/html/HC00030I.HTM
Relating to the exclusive jurisdiction of the state to regulate greenhouse gas emissions in this state and the express preemption of local regulation of those emissions.,House,2023-02-14,89.6,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02211I.HTM
Relating to the exclusive jurisdiction of the state to regulate greenhouse gas emissions in this state and the express preemption of local regulation of those emissions.,Senate,2023-02-09,89.6,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00784I.HTM
Relating to the adoption of a comprehensive plan to protect oil and gas infrastructure in this state.,House,2022-11-16,87.4937,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00578I.HTM
Relating to light pollution mitigation for wind turbine generators.,House,2023-02-21,81.9512,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02549I.HTM
Relating to advanced clean energy projects and certain other projects that reduce or eliminate carbon dioxide emissions.,House,2023-01-03,80.8205,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01158I.HTM
Relating to the exemption of hospitals from the diesel fuel tax.,House,2022-11-16,77.0873,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00654I.HTM
Relating to the establishment of an energy efficiency program for school districts and open-enrollment charter schools.,House,2023-01-26,76.4082,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01681I.HTM
Relating to a credit or refund for diesel fuel taxes paid on diesel fuel used in this state by auxiliary power units or power take-off equipment.,House,2023-02-24,74.6667,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02737I.HTM
Relating to the authority of a natural gas local distribution company to offer energy conservation programs.,House,2023-02-14,74.2595,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02263I.HTM
Relating to the authority of a natural gas local distribution company to offer energy conservation programs.,Senate,2023-02-21,74.2595,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01050I.HTM
Relating to the sale of electricity from certain non-dispatchable generation facilities in the ERCOT power region.,House,2023-02-14,73.7357,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02288I.HTM
Relating to gas utility alternative gas expenses and infrastructure investments.,Senate,2023-02-21,72.127,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01049I.HTM
Relating to gas utility alternative gas expenses and infrastructure investments.,House,2023-02-14,72.127,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02262I.HTM
Relating to wind energy rights and wind energy development agreements.,House,2023-02-17,71.5932,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02474I.HTM
Relating to the establishment of the oil and gas infrastructure security division within the Railroad Commission of Texas.,House,2023-01-27,71.2258,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01722I.HTM
Relating to the recovery of fuel and purchased power costs by electric utilities.,Senate,2023-02-23,70.5401,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01095I.HTM
Relating to the recovery of fuel and purchased power costs by electric utilities.,House,2023-02-09,70.5401,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02073I.HTM
Relating to the recovery of purchased power costs by electric utilities.,Senate,2023-02-23,70.209,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01094I.HTM
Relating to the recovery of purchased power costs by electric utilities.,House,2023-02-09,70.209,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02061I.HTM
Relating to the installment of electric school buses and solar panels in Texas public schools.,Senate,2022-11-16,68.1931,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00238I.HTM
Relating to imposing an additional fee for the registration of electric and hybrid vehicles.,House,2022-11-30,67.5,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00820I.HTM
Relating to climate change planning and reporting.,House,2022-11-16,65.1073,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00057I.HTM
Relating to imposing a motor fuel tax recovery fee for the registration of an electric vehicle.,House,2023-02-09,64.0,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02028I.HTM
Relating to the creation of an energy efficiency loan guarantee program.,House,2023-02-18,60.9341,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02502I.HTM
Relating to a requirement that an applicant for a permit to drill an oil or gas well submit a gas capture plan for the well.,House,2023-01-28,59.964,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01782I.HTM
Relating to land services performed by a landman.,Senate,2023-01-26,59.645,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00604I.HTM
Relating to land services performed by a landman.,House,2023-02-04,59.645,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01915I.HTM
Relating to the interconnection and integration of distributed energy resources.,Senate,2023-02-25,58.1634,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01212I.HTM
Relating to the interconnection and integration of distributed energy resources.,House,2023-02-24,58.1634,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02793I.HTM
Relating to the authority of a property owners' association to require a fee for the review or approval of a proposed solar energy device installation.,House,2023-02-10,57.1915,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02174I.HTM
Relating to imposing a tax on the generation of electricity by certain electric generators to provide revenue for property tax relief.,Senate,2023-01-19,56.8459,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00488I.HTM
Relating to the authority of the Public Utility Commission of Texas to ensure the independent organization certified for the ERCOT power region has adequate reserve power to prevent blackout conditions.,House,2023-02-21,56.8421,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02524I.HTM
Relating to an exemption from the severance tax for gas produced from certain wells that is consumed on site and would otherwise have been lawfully vented or flared.,House,2022-11-16,53.8266,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00591I.HTM
Relating to notice required after an intentional shutoff of electric and water service.,House,2023-02-21,53.6313,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02531I.HTM
"Proposing a constitutional amendment providing for the creation of the Texas severance tax revenue and oil and natural gas (Texas STRONG) defense fund, dedicating the money in that fund to benefit areas of the state significantly affected by oil and gas production, and providing for the transfer of certain general revenues to that fund, the economic stabilization fund, the state highway fund, the oil and gas regulation and cleanup account, the Texas emissions reduction plan fund, and the property tax relief fund.",House,2023-02-14,53.2277,http://capitol.texas.gov/tlodocs/88R/billtext/html/HJ00111I.HTM
Relating to the permitting of renewable energy generation facilities by the Public Utility Commission of Texas; authorizing  fees.,Senate,2023-01-27,51.6234,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00624I.HTM
Relating to location requirements for the construction of certain wind-powered energy devices.,House,2022-11-16,50.4471,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00171I.HTM
Relating to location requirements for the construction of certain wind-powered energy devices.,Senate,2022-11-16,50.4471,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00154I.HTM
Relating to the analysis of inspection and maintenance requirements for air quality permits issued by the Texas Commission on Environmental Quality for certain oil and gas facilities.,House,2023-02-14,49.9061,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02227I.HTM
Relating to the authority of a political subdivision to regulate the use or sale of a product for the purpose of reducing greenhouse gas emissions or conserving natural resources.,Senate,2023-02-23,49.8462,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01114I.HTM
Relating to the placement of electric vehicle charging equipment on state property.,House,2022-11-30,49.7778,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00821I.HTM
Relating to the issuance of a permit by the Public Utility Commission of Texas for the routing of certain oil or gas pipelines; authorizing administrative penalties.,House,2023-02-09,49.0667,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02049I.HTM
Relating to the operation of electric vehicle charging stations.,Senate,2023-02-17,48.3861,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01002I.HTM
Relating to a cause of action for the bad faith washout of an overriding royalty interest in an oil and gas lease.,Senate,2023-01-20,48.2152,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00501I.HTM
Relating to a cause of action for the bad faith washout of an overriding royalty interest in an oil and gas lease.,House,2022-11-16,48.2152,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00450I.HTM
Relating to an exemption from motor fuel taxes for certain fuel used by a rural transit district to provide public transportation.,House,2023-02-24,47.5468,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02763I.HTM
"Recognizing February 28, 2022, as Texas Food and Fuel Association
Day.",Senate,2023-02-27,47.3924,http://capitol.texas.gov/tlodocs/88R/billtext/html/SR00238I.HTM
Relating to the allocation of Texas Emissions Reduction Plan funds.,House,2023-02-14,46.1679,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02214I.HTM
Relating to imposing a road maintenance fee for the registration of an electric vehicle.,House,2022-12-09,45.8507,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00960I.HTM
Relating to the exercise of the power of eminent domain to acquire property for wind power facilities.,House,2022-11-16,44.5217,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00695I.HTM
Relating to the creation of a small non-road engine purchase incentive program under the Texas emissions reduction plan.,Senate,2022-11-16,43.9491,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00104I.HTM
Relating to the regulation of oil and gas waste; imposing a fee.,House,2023-01-27,43.6364,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01721I.HTM
Relating to regulation of residential wind power facilities by property owners' associations.,House,2022-11-16,43.3808,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00330I.HTM
"Relating to the allocation of certain constitutional transfers of money to the economic stabilization fund, the state highway fund, the oil and gas regulation and cleanup account, the Texas emissions reduction plan fund, the property tax relief fund, and the Texas severance tax revenue and oil and natural gas (Texas STRONG) defense fund and to the permissible uses of money deposited to the Texas severance tax revenue and oil and natural gas (Texas STRONG) defense fund.",House,2023-02-14,43.0769,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02207I.HTM
Congratulating Don Sparks on his induction into the Petroleum Hall of Fame.,House,2023-01-05,42.9851,http://capitol.texas.gov/tlodocs/88R/billtext/html/HC00015I.HTM
Relating to the resilience of the electric grid and certain municipalities; authorizing an administrative penalty.,House,2023-01-19,42.3351,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01412I.HTM
Relating to the resilience of the electric grid and certain municipalities; authorizing an administrative penalty.,Senate,2022-12-22,42.3351,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00330I.HTM
Relating to the provision of electricity service in the ERCOT power region.,Senate,2022-11-16,42.0923,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00114I.HTM
Relating to the designation of a person who has an interest in the geothermal resources of an orphaned oil or gas well as the operator of that well.,Senate,2023-02-25,40.918,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01210I.HTM
Congratulating Edward Runyan on his induction into the Petroleum Hall of Fame.,House,2023-01-05,39.2042,http://capitol.texas.gov/tlodocs/88R/billtext/html/HC00014I.HTM
Relating to the interconnection of the ERCOT power grid to grids outside the ERCOT power region.,Senate,2022-11-16,39.1111,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00031I.HTM
Relating to the installation and operation of electric vehicle charging stations installed or funded by the Texas Department of Transportation.,House,2023-01-19,39.0,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01420I.HTM
Relating to the interconnection of the ERCOT power grid to grids outside the ERCOT power region.,House,2022-12-30,38.9434,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01146I.HTM
Relating to the consideration of the cumulative effects of air contaminant emissions in the emissions permitting process.,Senate,2022-11-16,38.4,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00179I.HTM
Relating to the enforcement of certain federal laws regulating oil and gas operations within the State of Texas.,House,2022-11-16,38.4,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00033I.HTM
Relating to the enforcement of certain federal laws regulating oil and gas operations within the State of Texas.,Senate,2023-01-14,38.4,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00470I.HTM
Relating to increasing the rates of the state gasoline and diesel fuel taxes.,Senate,2022-12-02,37.7705,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00254I.HTM
Relating to the authority of a political subdivision to regulate an energy source or engine.,Senate,2023-02-17,37.6471,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01017I.HTM
Relating to the authority of a political subdivision to regulate an energy source or engine.,House,2023-02-16,37.6471,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02374I.HTM
Relating to state and municipal motor fuel taxes; providing civil penalties; creating criminal offenses; requiring occupational licenses; authorizing the imposition of taxes; providing for increases and decreases in the rates of taxes.,House,2023-02-14,37.4458,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02226I.HTM
"Relating to the jurisdiction of the Railroad Commission of Texas over and a study of the upstream production, pipeline transportation, and storage of hydrogen.",House,2023-02-25,36.9231,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02847I.HTM
Relating to the provision of an emergency power source to residents of certain public housing facilities.,House,2022-12-27,36.1739,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01109I.HTM
"Relating to the authority of a municipality or county to regulate the use of an appliance, system, or component that is fueled by natural gas or propane.",House,2022-11-18,36.1739,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00743I.HTM
"Relating to the authority of a municipality or county to regulate the use of an appliance, system, or component that is fueled by natural gas or propane.",Senate,2023-02-09,36.1739,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00783I.HTM
Proposing a constitutional amendment relating to the right of a property owner to conduct activities necessary to secure basic human needs.,House,2022-11-16,36.1412,http://capitol.texas.gov/tlodocs/88R/billtext/html/HJ00009I.HTM
Recognizing the Texas Food & Fuel Association.,House,2023-02-22,35.9226,http://capitol.texas.gov/tlodocs/88R/billtext/html/HR00310I.HTM
Relating to the regulation of electric vehicle supply equipment; requiring an occupational registration; authorizing fees; authorizing an administrative penalty.,Senate,2023-02-17,35.8301,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01001I.HTM
